StoreCode,StoreName,StoreType,Location,OperatingCost,StaffCnt,TotalSales,TotalCustomers,AcqCostPercust,BasketSize,ProfitPercust,OwnStore,OnlinePresence,Tenure,StoreSegment,Discounted Sales,TotalCost,DiscountedSales
STR101,Electronics Zone,Electronincs,Delhi,21.0,60,160.0,110,3.9,2.62,16.46,0,1,4,4,152.0,450.0,152.0
STR102,Apparel Zone,Apparel,Delhi,21.0,60,160.0,110,3.9,2.875,17.02,0,1,4,4,152.0,450.0,152.0
STR103,Super Bazar,Super Market,Delhi,22.8,40,108.0,93,3.85,2.32,18.61,1,1,4,1,102.6,380.85,102.6
STR104,Super Market,Super Market,Delhi,21.4,60,258.0,110,3.08,3.215,19.44,1,0,3,1,245.1,360.2,245.1
STR105,Central Store,Super Market,Delhi,18.7,80,360.0,175,3.15,3.44,17.02,0,0,3,2,342.0,569.95,342.0
STR106,Apparel Zone,Apparel,Delhi,18.1,60,225.0,105,2.76,3.46,20.22,1,0,3,1,213.75,307.9,213.75
STR107,Fashion Bazar,Apparel,Delhi,14.3,80,360.0,245,3.21,3.57,15.84,0,0,3,4,342.0,800.75,342.0
STR108,Digital Bazar,Electronincs,Delhi,24.4,40,146.7,62,3.69,3.19,20.0,1,0,4,2,139.36499999999998,253.18,139.36499999999998
STR109,Electronics Zone,Electronincs,Chennai,22.8,40,140.8,95,3.92,3.15,22.9,1,0,4,2,133.76,395.2,133.76
STR110,Apparel Zone,Apparel,Chennai,19.2,60,167.6,123,3.92,3.44,18.3,1,0,4,4,159.22,501.35999999999996,159.22
STR111,Super Bazar,Super Market,Chennai,17.8,60,167.6,123,3.92,3.44,18.9,1,0,4,4,159.22,499.96,159.22
STR112,Super Market,Super Market,Chennai,16.4,80,275.8,180,,4.07,17.4,0,0,3,3,262.01,,262.01
STR113,Central Store,Super Market,Chennai,17.3,80,275.8,180,,3.73,17.6,0,0,3,3,262.01,,262.01
STR114,Apparel Zone,Apparel,Chennai,15.2,80,275.8,180,,3.78,18.0,0,0,3,3,262.01,,262.01
STR115,Fashion Bazar,Apparel,Chennai,10.4,80,472.0,205,2.93,5.25,17.98,0,0,3,4,448.4,611.05,448.4
STR116,Digital Bazar,Electronincs,Chennai,10.4,80,460.0,215,3.0,5.424,17.82,0,0,3,4,437.0,655.4,437.0
STR117,Electronics Zone,Electronincs,Mumbai,14.7,80,440.0,230,3.23,5.345,17.42,0,0,3,4,418.0,757.6,418.0
STR118,Apparel Zone,Apparel,Mumbai,32.4,40,78.7,66,4.08,2.2,19.47,1,1,4,1,74.765,301.68,74.765
STR119,Super Bazar,Super Market,Mumbai,30.4,40,75.7,52,4.93,1.615,18.52,1,1,4,2,71.915,286.76,71.915
STR120,Super Market,Super Market,Mumbai,33.9,40,71.1,65,4.22,1.835,19.9,1,1,4,1,67.54499999999999,308.2,67.54499999999999
STR121,Central Store,Super Market,Mumbai,21.5,40,120.1,97,3.7,2.465,20.01,1,0,3,1,114.09499999999998,380.40000000000003,114.09499999999998
STR122,Apparel Zone,Apparel,Mumbai,15.5,80,318.0,150,2.76,3.52,16.87,0,0,3,2,302.09999999999997,429.49999999999994,302.09999999999997
STR123,Fashion Bazar,Apparel,Mumbai,15.2,80,304.0,150,3.15,3.435,17.3,0,0,3,2,288.8,487.7,288.8
STR124,Digital Bazar,Electronincs,Mumbai,13.3,80,350.0,245,3.73,3.84,15.41,0,0,3,4,332.5,927.15,332.5
STR125,Electronics Zone,Electronincs,Kolkata,19.2,80,400.0,175,3.08,3.845,17.05,0,0,3,2,380.0,558.2,380.0
STR126,Apparel Zone,Apparel,Kolkata,27.3,40,79.0,66,4.08,1.935,18.9,1,1,4,1,75.05,296.58000000000004,75.05
STR127,Super Bazar,Super Market,Kolkata,26.0,40,120.3,91,4.43,2.14,16.7,0,1,5,2,114.285,429.13,114.285
STR128,Super Market,Super Market,Kolkata,30.4,40,95.1,113,3.77,1.513,16.9,1,1,5,2,90.34499999999998,456.40999999999997,90.34499999999998
STR129,Central Store,Super Market,Kolkata,15.8,80,351.0,264,4.22,3.17,14.5,0,1,5,4,333.45,1129.8799999999999,333.45
STR130,Apparel Zone,Apparel,Kolkata,19.7,60,145.0,175,3.62,2.77,15.5,0,1,5,4,137.75,653.2,137.75
STR131,Fashion Bazar,Apparel,Kolkata,15.0,80,301.0,335,3.54,3.57,14.6,0,1,5,4,285.95,1200.9,285.95
STR132,Digital Bazar,Electronincs,Kolkata,21.4,40,121.0,109,4.11,2.78,18.6,1,1,4,2,114.94999999999999,469.39,114.94999999999999
