Respondent_ID,Age,Annual_Income,Satisfaction_Score,Work_Hours_Per_Week,Spending_Score,Gender,Education_Level,Employment_Status
1,39,39822,1.22,12,79.29,Non-binary,High School,Self-employed
2,33,45417,4.94,61,73.98,Non-binary,High School,Retired
3,41,41039,4.2,37,23.41,Female,Master's Degree,Employed
4,50,51656,4.48,38,32,Non-binary,Master's Degree,Student
5,32,67957,3.78,39,78.86,Non-binary,High School,Employed
6,32,38434,1.74,43,35.77,Non-binary,Master's Degree,Unemployed
7,50,65012,1.12,39,40.36,Male,High School,Unemployed
8,42,38274,4.46,38,36.44,Male,High School,Employed
9,30,37285,2.59,53,16.16,Prefer not to say,Bachelor's Degree,Employed
10,40,62278,2.06,45,34.09,Female,Bachelor's Degree,Student
11,30,63829,3.25,30,80.29,Non-binary,Bachelor's Degree,Employed
12,30,62771,2.68,47,49.11,Non-binary,Doctorate,Self-employed
13,37,30263,3.61,45,45.82,Male,Associate Degree,Retired
14,18,43010,2.94,34,15.64,Male,Master's Degree,Student
15,18,62344,3.79,47,17.76,Male,Bachelor's Degree,Employed
16,29,50623,4.41,38,4.3,Female,Associate Degree,Self-employed
17,24,33894,1.78,37,1.4,Male,Associate Degree,Employed
18,38,56874,2.32,37,48.8,Non-binary,Master's Degree,Student
19,25,39277,2.75,15,40.92,Non-binary,Doctorate,Student
20,20,76917,4.85,34,27.54,Non-binary,High School,Unemployed
21,49,73172,2.46,47,99,Prefer not to say,Bachelor's Degree,Unemployed
22,32,59061,2.52,39,39.8,Female,Doctorate,Employed
23,35,70415,3.61,27,78.88,Non-binary,Master's Degree,Retired
24,20,50971,2.68,49,21.05,Non-binary,Doctorate,Self-employed
25,29,61481,4.8,37,24.7,Non-binary,Associate Degree,Unemployed
26,36,72165,4.58,27,56.84,Male,Doctorate,Unemployed
27,23,53682,3.05,62,0.4,Non-binary,Bachelor's Degree,Retired
28,38,46172,3.58,29,1.74,Male,Doctorate,Student
29,28,24430,1.23,48,14.22,Male,Doctorate,Employed
30,32,48752,3.78,32,22.31,Female,Associate Degree,Employed
31,28,62351,3.83,41,52.78,Female,Doctorate,Self-employed
32,53,64184,2.44,30,68.62,Non-binary,Associate Degree,Retired
33,34,57565,1.88,27,31.19,Female,Bachelor's Degree,Retired
34,24,41880,4.66,45,23.91,Male,Bachelor's Degree,Retired
35,43,20347,2.71,44,82.28,Male,High School,Student
36,22,42571,3.61,51,16.28,Non-binary,High School,Retired
37,37,45434,1.13,39,67.83,Non-binary,Associate Degree,Student
38,18,45306,2.66,62,93.13,Non-binary,High School,Employed
39,21,59278,4.27,42,23.22,Male,High School,Student
40,36,79785,2.55,45,8.7,Male,Master's Degree,Employed
41,42,51852,3.41,26,97.98,Non-binary,High School,Self-employed
42,36,46749,1.84,33,27.08,Non-binary,Doctorate,Retired
43,33,46111,2.67,45,27.57,Male,Bachelor's Degree,Self-employed
44,31,51865,4.71,39,48.38,Female,High School,Retired
45,20,37575,3.27,41,23.11,Male,Associate Degree,Self-employed
46,27,51802,4.61,31,99.29,Female,Master's Degree,Unemployed
47,30,56762,4.61,41,4.3,Non-binary,Master's Degree,Unemployed
48,45,53145,4.78,41,45.15,Male,Bachelor's Degree,Student
49,38,56863,4.58,28,54.83,Non-binary,Bachelor's Degree,Self-employed
50,18,56506,1.01,46,46.7,Non-binary,Associate Degree,Retired
51,38,23421,4.74,22,52.05,Non-binary,Associate Degree,Employed
52,31,59553,1.55,41,98.76,Prefer not to say,Associate Degree,Student
53,28,39934,1.16,57,87.69,Prefer not to say,Master's Degree,Student
